机场代码,机场全称,机场简称,英文名,所属城市,城市三字码,所属省州,所属国家/地区,机场类型
LLK,连科兰国际机场,连科兰机场,Lankaran International Airport,连科兰,LLK,连科兰,阿塞拜疆,机场
OHH,奥哈机场,奥哈机场,Okha Airport,奥哈,OHH,萨哈林,俄罗斯,机场
SMT,索尔斯欧机场,索尔斯欧机场,Sorriso Airport,索尔斯欧,SMT,马托格罗索,巴西,机场
TJL,特雷斯拉瓜斯机场,特雷斯拉瓜斯机场,Tres Lagoas Airport,特雷斯拉瓜斯,TJL,南马托格罗索,巴西,机场
UZR,乌尔贾尔机场,乌尔贾尔机场,Urdzhar Airport,乌尔贾尔,UZR,乌尔贾尔,哈萨克斯坦,机场
USR,乌斯内拉机场,乌斯内拉机场,Ust-Nera Airport,乌斯内拉,USR,乌斯内拉,俄罗斯,机场
UTS,乌斯齐马机场,乌斯齐马机场,Ust-Tsylma Airport,乌斯齐马,UTS,乌斯齐马,俄罗斯,机场
ZIA,茹科夫斯基机场,茹科夫斯基机场,Zhukovskiy Airport,茹科夫斯基,ZIA,莫斯科,俄罗斯,机场
EZV,别洛亚尔斯克机场,别洛亚尔斯克机场,Berezovo Airport,别廖佐沃,EZV,别廖佐沃,俄罗斯,机场
VAM,马米基里岛机场,马米基里岛机场,Maamigili Airport,马米基里岛,VAM,马米基里岛,马尔代夫,机场
GNJ,占贾机场,占贾机场,Ganja Airport,占贾,GNJ,占贾,阿塞拜疆,机场
YZZ,特雷尔,特雷尔,Trail Airport,特雷尔,YZZ,不列颠哥伦比亚,加拿大,机场
IGT,马加斯机场,马加斯机场,Magas Airport,马加斯,IGT,印古什,俄罗斯,机场
ZIX,日甘斯克机场,日甘斯克机场,Zhigansk Airport,日甘斯克,ZIX,日甘斯克,俄罗斯,机场
TMF,提玛拉孚士机场,提玛拉孚士机场,Thimarafushi Airport,蒂马拉夫斯,TMF,蒂马拉夫斯,马尔代夫,机场
YKO,于克塞科瓦机场,于克塞科瓦机场,Yuksekova Airport,哈卡里,YKO,哈卡里,土耳其,机场
YGP,米歇尔-包利华机场,米歇尔-包利华机场,Michel-Pouliot Airport,加斯佩,YGP,魁北克,加拿大,机场
ULK,连斯克机场,连斯克机场,Lensk Airport,连斯克,ULK,萨哈（雅库特）,俄罗斯,机场
UMS,乌斯季马亚机场,乌斯季马亚机场,Ust-Maya Airport,乌斯季马亚,UMS,乌斯季马亚,俄罗斯,机场
UOA,穆鲁罗阿环礁机场,穆鲁罗阿环礁机场,Moruroa Atoll Airport,穆鲁罗阿环礁,UOA,穆鲁罗阿环礁,法属波利尼西亚,机场
VHV,上维柳伊斯克机场,上维柳伊斯克机场,Verkhnevilyuysk Airport,维尔克恩维柳伊斯克,VHV,维尔克恩维柳伊斯克,俄罗斯,机场
XNH,阿里空军基地,阿里空军基地,Ali Air Base,纳西里耶,XNH,纳西里耶,伊拉克,机场
VLY,安格尔西岛机场,安格尔西岛机场,Anglesey  Airport,安格尔西岛,VLY,安格尔西岛,英国,机场
USA,康科德机场,康科德机场,Concord,康科德市,USA,北卡罗莱纳州,美国,机场
RDO,拉多姆机场,拉多姆机场,Radom Airport,拉多姆,RDO,马佐夫舍省,波兰,机场
WLP,西安吉拉斯机场,西安吉拉斯机场,West Angelas Airport,西安吉拉斯,WLP,西安吉拉斯,澳大利亚,机场
TJU,库利亚布机场,库利亚布机场,Kulob Airport,库利亚布,TJU,库利亚布,塔吉克斯坦,机场
TLY,普拉斯通机场,普拉斯通机场,Plastun Airport,普拉斯通,TLY,滨海边疆,俄罗斯,机场
THX,土鲁罕斯克机场,土鲁罕斯克机场,Turukhansk Airport,图鲁汉斯克,THX,图鲁汉斯克,俄罗斯,机场
VBP,博宾机场,博宾机场,Bokpyin Airport,博宾,VBP,博宾,缅甸,机场
OVS,苏维埃斯基机场,苏维埃斯基机场,Sovetsky Airport,苏维埃斯基,OVS,汉特-曼西斯奇,俄罗斯,机场
UKG,乌斯季库伊加机场,乌斯季库伊加机场,Ust-Kuyga Airport,乌斯季库伊加,UKG,乌斯季库伊加,俄罗斯,机场
VPG,韦品戈山机场,韦品戈山机场,Vipingo,维平格,VPG,维平格,肯尼亚,机场
RMT,里马塔拉机场,里马塔拉机场,Rimatara Airport,里马塔拉,RMT,里马塔拉,法属波利尼西亚,机场
RUD,沙赫鲁德机场,沙赫鲁德机场,Shahrud Airport,阿鲁德,RUD,阿鲁德,伊朗,机场
WZQ,乌拉特中旗机场,乌拉特中旗机场,Urad Middle Banner,乌拉特中旗,WZQ,内蒙古自治区,中国,机场
RKA,阿拉蒂卡机场,阿拉蒂卡机场,Aratika Airport,阿拉蒂卡,RKA,阿拉蒂卡,法属波利尼西亚,机场
RRR,拉洛阿机场,拉洛阿机场,Raroia Airport,拉罗亚,RRR,拉罗亚,法属波利尼西亚,机场
NGK,诺格利基机场,诺格利基机场,Nogliki Airport,诺格利基,NGK,诺格利基,俄罗斯,机场
NYR,纽尔巴机场,纽尔巴机场,Nyurba Airport,纽尔巴,NYR,纽尔巴,俄罗斯,机场
ONK,奥列尼奥克机场,奥列尼奥克机场,Olenyok Airport,奥列纽克,ONK,奥列纽克,俄罗斯,机场
TXE,莲贝勒机场,莲贝勒机场,Rembele Airport,塔肯刚,TXE,亚齐特别行政区,印度尼西亚,机场
RDP,纳兹鲁尔机场,纳兹鲁尔机场,Kazi Nazrul Islam Airport,杜尔加布尔,RDP,西孟加拉邦,印度,机场
NUF,哈顿基地机场,哈顿基地机场,Hatton Spb,哈顿,NUF,哈顿,斯里兰卡,机场
NYA,尼亚干机场,尼亚干机场,Nyagan Airport,尼亚甘,NYA,汉特-曼西斯奇,俄罗斯,机场
OGM,奥斯杜波岛机场,奥斯杜波岛机场,Ustupo Ogobsucum Airport,奥斯杜波岛,OGM,奥斯杜波岛,巴拿马,机场
RGS,布尔戈斯机场,布尔戈斯机场,Burgos Airport,布尔戈斯,RGS,卡斯蒂利亚和莱昂,西班牙,机场
RJM,马林达机场,马林达机场,Marinda Airport,外赛,RJM,外赛,印度尼西亚,机场
OZG,扎古拉机场,扎古拉机场,Zagora Airport,扎古拉,OZG,苏斯－马塞大区,摩洛哥,机场
PGU,波斯湾国际机场,波斯湾机场,Persian Gulf International Airport,阿萨卢耶,PGU,布什尔,伊朗,机场
PYG,伯蓉机场,伯蓉机场,Pakyong Airport,甘托克,PYG,锡金,印度,机场
JIO,乔斯·奥诺·因苏拉机场,乔斯·奥诺·因苏拉机场,Jos Orno Imsula Airport,蒂亚库尔,JIO,Tiakur,印度尼西亚,机场
OSO,奥斯本机场,奥斯本机场,Osborne Mine Airport,奥斯本,OSO,奥斯本,澳大利亚,机场
MGU,马楠岛机场,马楠岛机场,Manaung Airport,马楠,MGU,马楠,缅甸,机场
JKL,卡利姆诺斯机场,卡利姆诺斯机场,Kalymnos Island National Airport,卡利姆诺斯,JKL,南爱琴,希腊,机场
JRG,恰尔苏古达机场,恰尔苏古达机场,Jharsuguda Airport,恰尔苏古达,JRG,奥里萨邦,印度,机场
PYY,拜县机场,拜县机场,Pai Airport,拜县,PYY,拜县,泰国,机场
QOW,奥韦里机场,奥韦里机场,Owerri Airport,奥韦里,QOW,奥韦里,尼日利亚,机场
ILD,莱里达-阿尔瓜伊雷机场,阿尔瓜伊雷机场,Alguaire Airport,莱里达,ILD,莱里达,西班牙,机场
GKK,库多机场,库多机场,Kooddoo Airport,库多岛,GKK,库多岛,马尔代夫,机场
GYG,马根机场,马根机场,Magan Airport,马根,GYG,马根,俄罗斯,机场
NEI,捷尔涅伊机场,捷尔涅伊机场,Terney Airport,捷尔涅伊,NEI,捷尔涅伊,俄罗斯,机场
NYW,蒙育瓦机场,蒙育瓦机场,Monywa Airport,蒙育瓦,NYW,蒙育瓦,缅甸,机场
KQT,库尔干秋别国际机场,库尔干秋别机场,Qurghonteppa International Airport,库尔干秋别,KQT,库尔干秋别,塔吉克斯坦,机场
LFH,兰坪通用机场,兰坪通用机场,Lanping Fenghua General Airport ,怒江,LFH,云南省,中国,机场
OLG,奥莱尔机场,奥莱尔机场,Olare Airport,马塞马拉,MRE,马塞马拉,肯尼亚,机场
OCM,布尔格达机场,布尔格达机场,Boolgeeda Airport,布尔格达,OCM,布尔格达,澳大利亚,机场
JJM,Mulika Lodge机场,Mulika Lodge机场,Mulika Lodge,金纳,JJM,金纳,肯尼亚,机场
GGM,卡卡梅加机场,卡卡梅加机场,Kakamega Airport,卡卡梅加,GGM,卡卡梅加,肯尼亚,机场
KFE,克劳德布雷克机场,克劳德布雷克机场,Fortescue Dave Forrest Airport,克劳德布雷克,KFE,克劳德布雷克,澳大利亚,机场
KZR,屈塔希亚机场,屈塔希亚机场,Zafer Airport,屈塔希亚,KZR,屈塔希亚,土耳其,机场
KKS,卡尚机场,卡尚机场,Kashan Airport,卡尚,KKS,卡尚,伊朗,机场
NBN,安诺本机场,安诺本机场,Annobon Airport,安诺本,NBN,安诺本,赤道几内亚,机场
NIU,纽阿机场,纽阿机场,Niau Airport,尼奥,NIU,尼奥,法属波利尼西亚,机场
KJT,克尔塔查蒂机场,克尔塔查蒂机场,Kertajati International Airport,马贾伦卡,KJT,西爪哇,印度尼西亚,机场
IPZ,圣伊西德罗德尔将军机场,圣伊西德罗德尔将军机场,San Isidro de El General Airport,圣伊西德罗埃尔杰讷拉,IPZ,圣伊西德罗埃尔杰讷拉,哥斯达黎加,机场
IRM,伊格里姆机场,伊格里姆机场,Igrim Airport,伊格里姆,IRM,伊格里姆,俄罗斯,机场
KHX,奇黑黑机场,奇黑黑机场,Kihihi Airstrip,奇黑黑,KHX,奇黑黑,乌干达,机场
KPW,凯佩尔韦耶姆机场,凯佩尔韦耶姆机场,Keperveyem,凯佩尔韦耶姆,KPW,凯佩尔韦耶姆,俄罗斯,机场
KVR,卡瓦列罗沃,卡瓦列罗沃,Kavalerovo Airport,卡瓦列罗沃,KVR,卡瓦列罗沃,俄罗斯,机场
NBE,哈马马特机场,哈马马特机场,Hammamet Airport,恩菲达,NBE,恩菲达,突尼斯,机场
IZA,Presidente I. Franco机场,Presidente I. Franco机场,Presidente I. Franco,茹伊斯,JDF,茹伊斯,巴西,机场
JEK,杰基机场,杰基机场,Jeki Airport,赞比西河下游奈特公园,RYL,赞比西河下游奈特公园,赞比亚,机场
ERG,叶尔博加琼,叶尔博加琼,Yerbogachen Airport Airport,叶尔博加琼,ERG,叶尔博加琼,俄罗斯,机场
IGD,厄德尔,厄德尔,Igdir Airport,厄德尔,IGD,厄德尔,土耳其,机场
GTZ,Kirawira B机场,Kirawira B机场,Kirawira B Airport,格鲁美地,GTZ,格鲁美地,坦桑尼亚,机场
JJD,日若卡迪热里科阿科阿拉机场,日若卡迪热里科阿科阿拉机场,Jericoacoara Airport,克鲁兹,JJD,塞阿拉州,巴西,机场
FVM,弗阿穆拉机场,弗阿穆拉机场,Fuvahmulah Airport,弗阿穆拉,FVM,弗阿穆拉,马尔代夫,机场
IFU,伊瑚鲁机场,伊瑚鲁机场,Ifuru Airport,伊瑚鲁,IFU,伊瑚鲁,马尔代夫,机场
IKU,伊塞克机场,伊塞克机场,Issyk-Kul Airport,塔木吉,IKU,伊塞克湖,吉尔吉斯斯坦,机场
GLU,吉列普机场,吉列普机场,Gelephu Airport,吉列普,GLU,吉列普,不丹,机场
DPT,杰普塔茨基机场,杰普塔茨基机场,Deputatsky Airport,杰普塔茨基,DPT,杰普塔茨基,俄罗斯,机场
DRK,德雷克斯湾机场,德雷克斯湾机场,Drake Bay Airport,德雷克斯湾,DRK,德雷克斯湾,哥斯达黎加,机场
GIU,锡吉里耶机场,锡吉里耶机场,Sigiriya Airport,锡吉里耶,GIU,锡吉里耶,斯里兰卡,机场
GCW,大峡谷西机场,大峡谷西机场,Grand Canyon West,大峡谷西,GCW,亚利桑那州,美国,机场
GTP,格兰茨帕斯机场,格兰茨帕斯机场,Grants Pass,格兰茨帕斯,GTP,俄勒冈州,美国,机场
EBH,巴亚兹省,巴亚兹省,El Bayadh Airport,贝伊德,EBH,贝伊德,阿尔及利亚,机场
GEM,蒙戈莫亚机场,蒙戈莫亚机场,Mongomeyen Airport,蒙戈莫亚,GEM,蒙戈莫亚,赤道几内亚,机场
CBZ,滨州大高通用机场,滨州大高通用机场,BINGZHOU,滨州,CBZ,山东省,中国,机场
DWO,迪亚万纳河水上飞机场,迪亚万纳河水上飞机场,Diyawanna Oya Seaplane Base,科特,DWO,科特,斯里兰卡,机场
DFA,商洛丹凤商镇通用机场,商洛丹凤商镇通用机场,DANFENG Airport,商洛,DFA,陕西省,中国,机场
FMM,梅明根机场,梅明根机场,Memmingen Airport,梅明根,FMM,巴伐利亚,德国,机场
DGH,代奥克尔国际机场,代奥克尔国际机场,Deoghar International Airport,代奥克尔,DGH,代奥克尔,印度,机场
DHG,达利涅戈尔斯克机场,达利涅戈尔斯克机场,Dalnegorsk Airport,达利涅戈尔斯克,DHG,达利涅戈尔斯克,俄罗斯,机场
DRV,达拉万杜岛机场,达拉万杜岛机场,Dharavandhoo Island Airport,达拉万杜岛,DRV,达拉万杜岛,马尔代夫,机场
GCT,费拉格斯塔夫普里阿姆机场,费拉格斯塔夫普里阿姆机场,Bar Ten Ranch Airport,大峡谷,GCN,亚利桑那州,美国,机场
DIW,马维拉水上基地,马维拉水上基地,Mawella Lagoon Sea Plane Base,迪克韦勒,DIW,迪克韦勒,斯里兰卡,机场
DTB,西朗伊机场,西朗伊,Silangit,锡博龙博龙,DTB,北苏门答腊,印度尼西亚,机场
DEX,雅胡基摩机场,雅胡基摩机场,Yahukimo Airport,雅胡基摩,DEX,巴布亚,印度尼西亚,机场
BQG,博戈罗茨科耶,博戈罗茨科耶,Bogorodskoye Airport,博戈罗季茨科耶,BQG,博戈罗季茨科耶,俄罗斯,机场
BXY,克里尼机场,克里尼机场,Krayniy Airport,拜科努尔,BXY,拜科努尔,哈萨克斯坦,机场
EYK,别洛亚尔斯克,别洛亚尔斯克,Beloyarsky Airport,别洛亚尔斯基,EYK,别洛亚尔斯基,俄罗斯,机场
DDD,杜哈鲁机场,杜哈鲁机场,Dhaalu Atoll Airport,库达胡瓦胡,DDD,库达胡瓦胡,马尔代夫,机场
AAA,安娜机场,安娜机场,Anaa Airport,安娜,AAA,土阿莫土-甘比尔群岛,法属波利尼西亚,机场
ASS,阿瑞梭莎机场,阿瑞梭莎机场,Arathusa Safari Lodge Airport,阿瑞梭莎,ASS,阿瑞梭莎,南非,机场
AXJ,天草机场,天草机场,Amakusa Airport,天草,AXJ,熊本,日本,机场
AZS,萨马纳国际机场,萨马纳机场,Samana International Airport,萨马纳,AZS,萨马纳,多米尼加共和国,机场
CJF,库德旺纳,库德旺纳,Coondewanna Airport,库德旺纳,CJF,库德旺纳,澳大利亚,机场
DBR,达尔彭加机场,达尔彭加机场,Darbhanga Airport,达尔彭加,DBR,比哈尔,印度,机场
DLR,达利涅列琴斯克机场,达利涅列琴斯克机场,Dalnerechensk Airport,达利涅列琴斯克,DLR,达利涅列琴斯克,俄罗斯,机场
CYD,圣伊格纳西奥机场,圣伊格纳西奥机场,Town Airstrip,圣伊格纳西奥,SGM,南下加利福尼亚,墨西哥,机场
ZIY,莲花山轮渡港,莲花山轮渡港,Guangzhoulianhuashangang,广州,CAN,广东省,中国,非海关机场
ZUI,珠海九洲港,九洲港码头,Zhuhai Jiuzhou Ferr Terminal,珠海,ZUH,广东省,中国,非海关机场
PSR,阿布鲁佐机场,阿布鲁佐机场,Abruzzo Airport,佩斯卡拉,PSR,阿布鲁齐,意大利,机场
WAW,肖邦机场,肖邦机场,Chopin Airport,华沙,WAW,马佐夫舍省,波兰,机场
LGZ,隆子机场,隆子机场,Shannan Longzi Airport,山南,LGZ,西藏自治区,中国,机场
BGY,贝加莫机场,贝加莫机场,Bergamo Airport,米兰,MIL,伦巴第,意大利,机场
CGK,苏加诺-哈达国际机场,苏加诺-哈达机场,Soekarno-Hatta International Airport,雅加达,JKT,雅加达,印度尼西亚,机场
BBB,本森地方机场,本森地方机场,Benson,本森,BBB,明尼苏达州,美国,非海关机场
DRP,比科尔国际机场,比科尔机场,Bicol International Airport,达拉加,DRP,阿尔拜,菲律宾,机场
PDM,胡斯第尼亚诺黑山机场,胡斯第尼亚诺黑山机场,Capt. Justiniano Montenegro Airport,佩达西,PDM,洛斯桑托斯,巴拿马,机场
HQL,红其拉甫机场,红其拉甫,HONGQILAFU AIRPORT,塔什库尔干,HQL,新疆维吾尔自治区,中国,机场
HSA,哈兹拉特苏丹国际机场,哈兹拉特苏丹机场,Hazret Sultan International Airport,突厥斯坦,HSA,突厥斯坦,哈萨克斯坦,机场
QRO,克雷塔罗国际机场,克雷塔罗机场,Queretaro Intercontinental Airport,克雷塔罗,QRO,克雷塔罗,墨西哥,机场
MEL,墨尔本机场,墨尔本机场,Melbourne Airport,墨尔本,MEL,维多利亚,澳大利亚,机场
SHJ,沙迦机场,沙迦机场,Sharjah Airport,舍尔杰,SHJ,沙迦,阿联酋,机场
HEL,赫尔辛基万塔机场,赫尔辛基万塔机场,Helsinki-Vantaa Airport,赫尔辛基,HEL,新地区,芬兰,机场
KHI,真纳国际机场,真纳机场,Jinnah International Airport,卡拉奇,KHI,信德,巴基斯坦,机场
ZAS,顺德轮渡码头,顺德轮渡码头,Shunde Ferry,佛山,FUO,广东省,中国,非海关机场
FYG,深圳福永渡轮港口,福永渡轮港口,Fu Yong Ferry Terminal,深圳,SZX,广东省,中国,非海关机场
ZTI,东莞虎门渡轮码头,虎门渡轮码头,Humen Ferry Terminal,虎门,ZTI,广东省,中国,非海关机场
ZGN,轮渡港,轮渡港,Zhongshan,中山,ZGN,广东省,中国,非海关机场
ZYK,蛇口轮渡港,蛇口轮渡港,Shekou Ferry Port,深圳,SZX,广东省,中国,非海关机场
ZCU,蛇口轮渡码头,蛇口轮渡码头,Shekou Ferry,深圳,SZX,广东省,中国,非海关机场
GYE,何塞华金奥尔梅多国际机场,何塞华金奥尔梅多机场,Jose Joaquin De Olmedo International Airport,瓜亚基尔,GYE,瓜亚基尔,厄瓜多尔,机场
LIM,豪尔赫查韦斯国际机场,豪尔赫查韦斯机场,Jorge Chavez International Airport,利马,LIM,利马,秘鲁,机场
MNL,尼诺伊阿基诺国际机场,尼诺伊阿基诺机场,Ninoy Aquino International Airport,马尼拉,MNL,马尼拉,菲律宾,机场
BUD,李斯特弗朗茨国际机场,李斯特弗朗茨机场,Liszt Ferenc International Airport,布达佩斯,BUD,布达佩斯,匈牙利,机场
OTP,亨利科安达机场,亨利科安达机场,Henri Coanda Airport,布加勒斯特,BUH,布加勒斯特,罗马尼亚,机场
JBQ,拉尔伊莎贝拉国际机场,拉尔伊莎贝拉机场,La Isabela International Airport,圣多明各,SDQ,国家特区,多米尼加共和国,机场
ZQZ,宁远机场,宁远机场,Ningyuan Airport,张家口,ZQZ,河北省,中国,机场
QUO,阿克瓦伊博姆机场,阿克瓦伊博姆机场,Akwa Ibom International Airport,乌约,QUO,乌约,尼日利亚,机场
UBN,新乌兰巴托国际机场,新乌兰巴托国际机场,New Ulaanbaatar International Airport,乌兰巴托,ULN,乌兰巴托,蒙古,机场
IAO,锡亚高机场,锡亚高机场,Del Carmen (Siargao),德尔卡门,IAO,德尔卡门,菲律宾,机场
NUM,新未来城机场,新未来城机场,Neom Bay Airport,纽姆,NUM,纽姆,沙特阿拉伯,机场
LYS,圣修伯利机场,圣修伯利机场,Saint Exupery Airport,里昂,LYS,奥弗涅-罗讷-阿尔卑斯大区,法国,机场
YIA,日惹国际机场,日惹机场,Yogyakarta International Airport,日惹,JOG,日惹,印度尼西亚,机场
AMS,史基浦机场,史基浦机场,Schiphol Airport,阿姆斯特丹,AMS,北荷兰,荷兰,机场
ORD,奥黑尔国际机场,奥黑尔机场,O'Hare International Airport,芝加哥,CHI,伊利诺伊州,美国,机场
DOH,哈马德国际机场,哈马德机场,Hamad International Airport,多哈,DOH,杜哈,卡塔尔,机场
DIA,多哈国际机场,多哈国际机场,Doha International Airport ,多哈,DOH,杜哈,卡塔尔,机场
RGK,戈尔诺·阿尔泰斯克机场,戈尔诺·阿尔泰斯克机场,Gorno-Altaysk Airport,戈尔诺.阿尔泰斯克,RGK,阿勒泰,俄罗斯,机场
VCL,楚莱机场,楚莱机场,Chu Lai Airport,楚莱,VCL,广南,越南,机场
BGW,巴格达国际机场,巴格达机场,Baghdad International Airport,巴格达,BGW,巴格达省,伊拉克,机场
XYI,三沙永兴机场,永兴机场,Yong Xing Airport,三沙,XYI,海南省,中国,机场
ZFL,天马机场,天马机场,Tianma Airport,昭苏,ZFL,新疆维吾尔自治区,中国,机场
EHU,花湖机场,花湖机场,Huahu Airport,鄂州,EHU,湖北省,中国,机场
JGS,吉安井冈山机场,吉安井冈山机场,Jianjinggangshan Airport,吉安,JGS,江西省,中国,机场
ACF,塔里木机场,塔里木机场,Talimu Airport,阿拉尔,ACF,新疆维吾尔自治区,中国,机场
DZH,金垭机场,金垭机场,Jinya Airport,达州,DZH,四川省,中国,机场
HSC,韶关丹霞机场,丹霞机场,shaoguan danxia airport,韶关,HSC,广东省,中国,机场
HCZ,郴州北湖机场,郴州机场,Chenzhou beihu Airport,郴州,HCZ,湖南省,中国,机场
KNH,尚义机场,尚义机场,Shangyi Airport,中国金门,KNH,中国台湾,中国台湾,机场
CQW,重庆仙女山机场,仙女山机场,Chongqing Xiannvshan Airport,武隆,CQW,重庆市,中国,机场
LYG,花果山机场,花果山机场,Huaguoshan Airport,连云港,LYG,江苏省,中国,机场
LFQ,尧都机场,尧都机场,YAODU  AIRPORT,临汾,LFQ,山西省,中国,机场
BHY,北海福成机场,福成机场,Beihai Fucheng Airport,北海,BHY,广西壮族自治区,中国,机场
CWJ,佤山机场,佤山机场,Washan Airport,沧源,CWJ,云南省,中国,机场
ZHA,吴川机场,吴川机场,Wuchuan Airport,湛江,ZHA,广东省,中国,机场
LLV,吕梁机场,吕梁机场,Lvliang Airport,吕梁,LLV,山西省,中国,机场
