机场代码,机场全称,机场简称,英文名,所属城市,城市三字码,所属省州,所属国家/地区,机场类型
PKU,苏丹沙里夫卡西姆二世机场,苏丹沙里夫卡西姆二世机场,Sultan Syarif Kasim Ii Airport,北干巴鲁,PKU,廖内,印度尼西亚,机场
JNG,大安机场,大安机场,Daan Airport,济宁,JNG,山东省,中国,机场
NQZ,努尔苏丹-纳扎尔巴耶夫国际机场,纳扎尔巴耶夫机场,Nursultan Nazarbayev Airport,阿斯塔纳,NQZ,阿斯坦纳,哈萨克斯坦,机场
PNH,金边国际机场,金边国际机场,PHNOM PENH INTERNATIONAL,金边,PNH,金边,柬埔寨,机场
LZG,阆中古城机场,古城机场,Langzhong Gucheng AIRPORT,阆中,LZG,四川省,中国,机场
NEN,奥尔夫乌森机场,奥尔夫乌森机场,Whitehouse Nolf,杰克逊维尔,JAX,佛罗里达州,美国,机场
SVG,斯塔万格机场,斯塔万格机场,Stavanger Airport,斯塔万格,SVG,罗加兰,挪威,机场
HQQ,红旗渠机场,红旗渠机场,Hongqiqu Airport,安阳,AYN,河南省,中国,机场
GMV,毛纽蒙特瓦雷机场,毛纽蒙特瓦雷机场,Monument Valley ,毛纽蒙特瓦利格尔丁,GMV,犹他州,美国,机场
LUY,卢戈火车站,卢戈火车站,lugo,卢戈,LUY,卢戈 ,西班牙,非海关机场
BJX,德尔巴乔国际机场,德尔巴乔机场,Del Bajio International Airport,莱昂,BJX,瓜纳华托,墨西哥,机场
TGZ,安赫尔阿尔比诺科尔佐国际机场,安赫尔阿尔比诺科尔佐机场,Angel Albino Corzo International Airport,图斯特拉古铁雷斯,TGZ,恰帕斯,墨西哥,机场
FIZ,费茨罗伊科罗辛机场,费茨罗伊科罗辛机场,Fitzroy Crossing Airport,菲茨罗伊克罗辛,FIZ,西澳大利亚,澳大利亚,机场
GZP,加齐帕萨机场,加齐帕萨机场,Gazipasa Airport,加济帕夏,GZP,安塔利亚,土耳其,机场
TBB,东索机场,东索机场,Dong Tac Airport,绥和,TBB,富安,越南,机场
SOA,朔庄机场,朔庄机场,Soc Trang,朔庄,SOA,朔庄,越南,机场
BMV,蓬杜克机场,蓬杜克机场,Phung-Duc Airport,邦美蜀,BMV,多乐,越南,机场
BNS,巴利纳斯机场,巴利纳斯机场,Barinas Airport,巴里纳斯,BNS,巴里纳斯,委内瑞拉,机场
MSL,西北阿拉巴马地区机场,西北阿拉巴马机场,Northwest Alabama Regional Airport,马斯尔肖尔斯,MSL,亚拉巴马州,美国,机场
KTD,冲绳岛机场,冲绳岛机场,Kitadaito,北大东岛,KTD,冲绳,日本,机场
SWU,水原机场,水原机场,Suwon Airport,水原,SWU,京畿道,韩国,机场
KUZ,库米特直升机场,库米特机场,Kuummiit Heliport,库米特,KUZ,库米特,格陵兰,机场
JGE,巨济直升机机场,巨济直升机机场,Geoje airport,巨济,JGE,庆尚南道,韩国,非海关机场
GOX,莫帕机场,莫帕机场,Mopa Airport,果阿,GOI,果阿,印度,机场
NTE,大西洋机场,大西洋机场,Atlantique Airport,南特,NTE,卢瓦尔河地区大区,法国,机场
DXJ,边城机场,边城机场,Xiangxi Biancheng Airport,湘西,DXJ,湖南省,中国,机场
LAS,哈里·瑞德国际机场,哈里·瑞德机场,Harry Reid International Airport,拉斯维加斯,LAS,内华达州,美国,机场
SAI,吴哥暹粒国际机场,吴哥暹粒国际,Siem Reap Angkor,暹粒,REP,暹粒,柬埔寨,机场
HOU,霍比机场,霍比机场,Hobby Airport,休斯敦,HOU,德克萨斯州,美国,机场
MRU,西沃萨古尔拉姆古兰爵士国际机场,西沃萨古尔拉姆古兰爵士机场,Sir Seewoosagur Ramgoolam International Airport,毛里求斯,MRU,毛里求斯,毛里求斯,机场
NNT,楠府机场,楠府机场,Nan Nakhon Airport,楠,NNT,南府,泰国,机场
DAC,阿贾拉勒沙迦拉国际机场,阿贾拉勒沙迦拉机场,Hazrat Shahjalal International Airport,达卡,DAC,达卡,孟加拉国,机场
AGT,瓜拉尼国际机场,瓜拉尼机场,Guarani International Airport,埃斯特城,AGT,埃斯特城,巴拉圭,机场
NLU,菲利普·安吉利斯国际机场,菲利普·安吉利斯机场,Felipe Ángeles International Airport,墨西哥城,MEX,联邦区,墨西哥,机场
